EXEMPLOS DE ASSUNTOS	LOCAL	EXT. SEGURANÇA	TELEFONE GERAL
	Areeiro	2200	21 844 22 00
Domínio Público 	Apa		214 728 200
Hídrico			
Poços Furos	ARH Tejo e Oeste		218 430 400
	ARH Algarve		218 430 000
	ARH Centro		239 850 200
	ARH Alentejo		284 315 440
	ARH Norte		223 400 000
	Gpp	Linha Azul	213 035 703
  Alterações Climáticas	Gpp	Praça do Comércio	
Comissão de 	geral@gpp.pt    	1149-010 Lisboa	213 234 600
Acompanhamento 		www.gpp.pt	
dos Jovens Agricultores – CAJA			
			
Parcelário	Ifap	Rua Castilho, n.º 45-51, 1269-164 Lisboa  www.ifap.pt	212 427 708 (atendimento benificiários) /
	ifap@ifap.pt 		213 846 000
			(serviços centrais)
	Ifap (Helpdesk)	https://www.ifap.pt/portal/helpdesk-form	212 427 652
	Instituto DA Conservação Da Natureza e Das Florestas	Av. Dr. Alfredo Magalhães Ramalho 1	
	icnf@icnf.pt 	1495-165, Algés, Portugal	213 507 900
		www.icnf.pt	211 389 320
Quintas Pedagógicas	Dgav	Campo Grande, 50	
	geral@dgav.pt 	1700-093 Lisboa	213 239 500
		www.dgav.pt	
			
	CCDR Norte	Rua da República, 133	
	geral@ccdr-n.pt	5370 – 347 Mirandela	226 086 300
		www.drapnorte.pt	
			
			
			
			
			
	CCDR Centro	Rua Bernardim Ribeiro, 80	
	geral@ccdrc.pt	3000-069, Coimbra	239 400 100
		https://www.ccdrc.pt/	
			
	CCDR Lvt	Rua Alexandre Herculano, n.º 37	
	geral@ccdr-lvt.pt 	1250-009 Lisboa	213 837 100
		https://www.ccdr-lvt.pt/	
	CCDR Alentejo	Avenida Engenheiro Arantes e Oliveira, 193, 7004-514 Évora	
	geral@ccdr-a.gov.pt 	https://www.ccdr-a.gov.pt/	266 740 300
			
			
	CCDR Algarve	Rua do Moinho, Patacão, 8005-511, Faro	
	geral@ccdr-alg.pt 	https://www.ccdr-alg.pt/	
			289 895 200
			
	Iniav	Av. da República, Quinta do Marquês 2780-157 Oeiras	
	geral@iniav.pt	www.iniav.pt	214 403 500
			
	Ipma	Rua C do Aeroporto	
	info@ipma.pt	1749-077 Lisboa	218 447 000
		www.ipma.pt	
			
			
	Ivv	Rua Mouzinho da Silveira, n.º 5	
	ivv@ivv.gov.pt	1250-165 Lisboa	213 506 700
		www.ivv.min-agricultura.pt	
	PDR 2020	Rua de S. Julião, N.º 63	213 819 300
		1149-030, Lisboa	
			
	Portugal 2030	https://portugal2030.pt/ 	
	linhadosfundos@linhadosfundos.pt 		800 103 510
